Instrument,File,Time,Chord,Channel
Double Bass,Double Bass-1.wav,7,E:maj,Channel 1
Double Bass,Double Bass-1.wav,8,F:min,Channel 1
Double Bass,Double Bass-1.wav,9,G:min,Channel 1
Double Bass,Double Bass-1.wav,10,G:min,Channel 1
Double Bass,Double Bass-1.wav,0,D#:maj,Channel 2
Double Bass,Double Bass-1.wav,1,D#:maj,Channel 2
Double Bass,Double Bass-1.wav,2,A:min,Channel 2
Double Bass,Double Bass-1.wav,3,A:min,Channel 2
Double Bass,Double Bass-1.wav,4,A:min,Channel 2
Double Bass,Double Bass-1.wav,5,E:maj,Channel 2
Double Bass,Double Bass-1.wav,6,C:maj,Channel 2
Double Bass,Double Bass-1.wav,7,E:maj,Channel 2
Double Bass,Double Bass-1.wav,8,F:min,Channel 2
Double Bass,Double Bass-1.wav,9,G:min,Channel 2
Double Bass,Double Bass-1.wav,10,G:min,Channel 2
Double Bass,Double Bass-2.wav,0,G:maj,Channel 1
Double Bass,Double Bass-2.wav,1,G:maj,Channel 1
Double Bass,Double Bass-2.wav,2,G:maj,Channel 1
Double Bass,Double Bass-2.wav,3,C:maj,Channel 1
Double Bass,Double Bass-2.wav,4,C:maj,Channel 1
Double Bass,Double Bass-2.wav,5,C:maj,Channel 1
Double Bass,Double Bass-2.wav,6,C:maj,Channel 1
Double Bass,Double Bass-2.wav,7,B:min,Channel 1
Double Bass,Double Bass-2.wav,8,B:min,Channel 1
Double Bass,Double Bass-2.wav,9,G:maj,Channel 1
Double Bass,Double Bass-2.wav,10,G:maj,Channel 1
Double Bass,Double Bass-2.wav,0,G:maj,Channel 2
Double Bass,Double Bass-2.wav,1,G:maj,Channel 2
Double Bass,Double Bass-2.wav,2,G:maj,Channel 2
Double Bass,Double Bass-2.wav,3,C:maj,Channel 2
Double Bass,Double Bass-2.wav,4,C:maj,Channel 2
Double Bass,Double Bass-2.wav,5,C:maj,Channel 2
Double Bass,Double Bass-2.wav,6,C:maj,Channel 2
Double Bass,Double Bass-2.wav,7,F#:maj,Channel 2
Double Bass,Double Bass-2.wav,8,F#:maj,Channel 2
Double Bass,Double Bass-2.wav,9,G:maj,Channel 2
Double Bass,Double Bass-2.wav,10,G:maj,Channel 2
Double Bass,Double Bass-3.wav,0,A:maj,Channel 1
Double Bass,Double Bass-3.wav,1,A:maj,Channel 1
Double Bass,Double Bass-3.wav,2,E:min,Channel 1
Double Bass,Double Bass-3.wav,3,E:min,Channel 1
Double Bass,Double Bass-3.wav,4,E:min,Channel 1
Double Bass,Double Bass-3.wav,5,E:min,Channel 1
Double Bass,Double Bass-3.wav,6,C:maj,Channel 1
Double Bass,Double Bass-3.wav,7,B:maj,Channel 1
Double Bass,Double Bass-3.wav,8,D#:maj,Channel 1
Double Bass,Double Bass-3.wav,9,A:min,Channel 1
Double Bass,Double Bass-3.wav,10,E:maj,Channel 1
Double Bass,Double Bass-3.wav,0,A:maj,Channel 2
Double Bass,Double Bass-3.wav,1,A:maj,Channel 2
Double Bass,Double Bass-3.wav,2,E:min,Channel 2
